Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Latitude,Longitude,user id,product id,Interaction type,Date,Heure,Month
847,49,Male,Boots,Footwear,72,Kentucky,M,Pink,Spring,3.7,Yes,Express,Yes,Yes,42,Debit Card,Quarterly,37.8223,-85.7682,847.0,646a7d919b4ebc7c75d2cf483b833aac,purchase,2023-12-16,08:00:00,2023-12
865,51,Male,Jeans,Clothing,59,Kentucky,S,Charcoal,Winter,3.9,Yes,Next Day Air,Yes,Yes,5,PayPal,Annually,37.8223,-85.7682,865.0,bbdcf06ce9c516469c52de2296a340f2,view,2023-01-01,10:00:00,2023-01
903,43,Male,Hat,Accessories,44,Kentucky,M,Beige,Summer,2.8,Yes,Next Day Air,Yes,Yes,5,Cash,Monthly,37.8223,-85.7682,903.0,29b2140b891dfb955af3d84f27dd74f9,like,2023-07-11,08:00:00,2023-07
967,58,Male,Dress,Clothing,55,Kentucky,M,Brown,Spring,4.9,Yes,Express,Yes,Yes,19,Cash,Annually,37.8223,-85.7682,967.0,6548d83873381e40960908ea1ba9e38b,like,2023-08-01,10:00:00,2023-08
998,64,Male,Pants,Clothing,30,Kentucky,M,Cyan,Spring,3.6,Yes,Express,Yes,Yes,31,Cash,Fortnightly,37.8223,-85.7682,998.0,dc67bfe23c31e810a37780fc1c852359,like,2023-10-24,08:00:00,2023-10
1020,32,Male,Shirt,Clothing,76,Kentucky,S,Beige,Winter,2.8,Yes,Standard,Yes,Yes,33,Venmo,Bi-Weekly,37.8223,-85.7682,1020.0,815771ccabf2825718e0c2643c0a0d71,like,2023-11-15,08:00:00,2023-11
1031,58,Male,Coat,Outerwear,89,Kentucky,L,Blue,Winter,3.3,Yes,Next Day Air,Yes,Yes,37,Debit Card,Quarterly,37.8223,-85.7682,1031.0,28dca7c67ba12994bb63599053f56350,like,2023-10-14,08:00:00,2023-10
1131,67,Male,Jewelry,Accessories,41,Kentucky,M,Lavender,Summer,3.9,No,Standard,Yes,Yes,30,PayPal,Bi-Weekly,37.8223,-85.7682,1131.0,7b1781172e4b65ecfec72f1003db0184,purchase,2023-01-20,10:00:00,2023-01
1151,29,Male,Jewelry,Accessories,36,Kentucky,S,Red,Winter,2.7,No,Next Day Air,Yes,Yes,50,Venmo,Bi-Weekly,37.8223,-85.7682,1151.0,56e7628082483fbc470ec0abe824e2d0,purchase,2023-10-25,08:00:00,2023-10
1214,68,Male,Handbag,Accessories,52,Kentucky,XL,Black,Spring,3.7,No,Express,Yes,Yes,14,Debit Card,Every 3 Months,37.8223,-85.7682,1214.0,8849e4266b63d8cdf0cde145cc3cb780,purchase,2023-12-27,08:00:00,2023-12
1221,67,Male,Gloves,Accessories,64,Kentucky,M,Green,Winter,4.9,No,Express,Yes,Yes,36,Bank Transfer,Quarterly,37.8223,-85.7682,1221.0,def5e8134b263c40591c7a668b000287,like,2023-01-01,10:00:00,2023-01
1272,70,Male,Jewelry,Accessories,57,Kentucky,S,Gray,Spring,4.3,No,Store Pickup,Yes,Yes,42,PayPal,Annually,37.8223,-85.7682,1272.0,915b0fc9d3b3afbf6f245df73493c0d3,like,2023-02-21,10:00:00,2023-02
1293,26,Male,Belt,Accessories,61,Kentucky,M,Maroon,Summer,3.9,No,Free Shipping,Yes,Yes,42,Bank Transfer,Annually,37.8223,-85.7682,1293.0,060c4fbc66821a1268e65a65dd877f36,like,2023-10-30,08:00:00,2023-10
1318,28,Male,Pants,Clothing,43,Kentucky,M,Green,Spring,2.8,No,Free Shipping,Yes,Yes,19,Cash,Monthly,37.8223,-85.7682,1318.0,b90a719eaf198d5bc9f424f8350d5d97,view,2023-11-24,08:00:00,2023-11
1379,37,Male,Jacket,Outerwear,49,Kentucky,XL,Lavender,Fall,3.6,No,Free Shipping,Yes,Yes,24,Venmo,Weekly,37.8223,-85.7682,1379.0,e8049fc17a4e68ac818d5a86f16eb5a9,view,2023-01-22,10:00:00,2023-01
1836,65,Male,Scarf,Accessories,75,Kentucky,M,Lavender,Fall,3.2,No,2-Day Shipping,No,No,45,Credit Card,Quarterly,37.8223,-85.7682,1836.0,786c0b2a85e0324f387f5a64958600bf,purchase,2023-05-23,10:00:00,2023-05
1844,36,Male,Jacket,Outerwear,76,Kentucky,M,Charcoal,Fall,4.7,No,Next Day Air,No,No,32,Credit Card,Monthly,37.8223,-85.7682,1844.0,c2b2335e3a5b11cfbb2109484a04398d,like,2023-05-31,10:00:00,2023-05
1855,25,Male,Sweater,Clothing,61,Kentucky,M,Teal,Spring,3.8,No,Express,No,No,49,Credit Card,Annually,37.8223,-85.7682,1855.0,6a0cb7f471343c21b987db96e579bff6,like,2023-11-06,10:00:00,2023-11
1910,50,Male,Sweater,Clothing,84,Kentucky,S,Black,Spring,4.3,No,Store Pickup,No,No,12,Credit Card,Monthly,37.8223,-85.7682,1910.0,45fc6b15459d6667164a3e09ed3036b3,purchase,2023-01-11,08:00:00,2023-01
1914,49,Male,Skirt,Clothing,48,Kentucky,M,Peach,Winter,3.6,No,Express,No,No,29,Cash,Annually,37.8223,-85.7682,1914.0,b064b77fdc0659ff824d76a616d884c7,like,2023-05-11,08:00:00,2023-05
1923,18,Male,Gloves,Accessories,63,Kentucky,S,Peach,Summer,4.6,No,Standard,No,No,9,PayPal,Monthly,37.8223,-85.7682,1923.0,9aad98f96f8ce071f7def8909d17a824,view,2023-11-14,08:00:00,2023-11
1939,46,Male,Jeans,Clothing,23,Kentucky,L,Blue,Spring,3.8,No,Standard,No,No,39,Debit Card,Bi-Weekly,37.8223,-85.7682,1939.0,1fac9fbe75457ad5a9935fe7a83ec45c,like,2023-11-30,08:00:00,2023-11
2142,24,Male,Dress,Clothing,98,Kentucky,M,Peach,Winter,4.1,No,2-Day Shipping,No,No,32,PayPal,Annually,37.8223,-85.7682,2142.0,67973b930c77a91dcac7532351048ce4,like,2023-02-03,10:00:00,2023-02
2154,35,Male,Shirt,Clothing,94,Kentucky,M,Violet,Fall,4.2,No,Free Shipping,No,No,31,PayPal,Annually,37.8223,-85.7682,2154.0,8b72c9f54570aa49c213e5be3b9f2e86,like,2023-03-14,10:00:00,2023-03
2195,61,Male,Socks,Clothing,29,Kentucky,M,Silver,Summer,3.5,No,Standard,No,No,48,Bank Transfer,Quarterly,37.8223,-85.7682,2195.0,491835c87e82c91b15a9508b2b36ccc1,purchase,2023-04-24,10:00:00,2023-04
2268,32,Male,Gloves,Accessories,49,Kentucky,S,Blue,Spring,3.8,No,Express,No,No,37,Venmo,Weekly,37.8223,-85.7682,2268.0,c2e327d12f3289bd5b155d620d5e86cd,purchase,2023-06-07,10:00:00,2023-06
2270,49,Male,Skirt,Clothing,38,Kentucky,M,Yellow,Fall,4.4,No,Store Pickup,No,No,27,Credit Card,Annually,37.8223,-85.7682,2270.0,f68a05eaaeae971868f46283ad282466,like,2023-08-07,10:00:00,2023-08
2281,22,Male,Shoes,Footwear,21,Kentucky,M,Red,Summer,2.8,No,Standard,No,No,31,Credit Card,Fortnightly,37.8223,-85.7682,2281.0,3b1cda1513f867faa89db789d3cbf775,purchase,2023-07-19,10:00:00,2023-07
2526,39,Male,Sweater,Clothing,72,Kentucky,M,Purple,Winter,4.2,No,Standard,No,No,20,PayPal,Weekly,37.8223,-85.7682,2526.0,26f5a23ea765e80a6a83ea031ba3710e,like,2023-11-12,08:00:00,2023-11
2565,42,Male,Scarf,Accessories,90,Kentucky,L,Indigo,Winter,3.0,No,2-Day Shipping,No,No,27,Bank Transfer,Weekly,37.8223,-85.7682,2565.0,b10372753b7f1c7ceafb6a3acbe77d2f,view,2023-01-17,10:00:00,2023-01
2677,43,Female,Backpack,Accessories,77,Kentucky,M,Maroon,Spring,3.6,No,Free Shipping,No,No,3,Cash,Fortnightly,37.8223,-85.7682,2677.0,36c4341b588f8ce4c4b6021e8f4d9cff,like,2023-09-05,10:00:00,2023-09
2793,54,Female,Shorts,Clothing,44,Kentucky,L,Violet,Winter,3.2,No,Express,No,No,11,Credit Card,Weekly,37.8223,-85.7682,2793.0,6751ec46e92327d1d88e68c372ee1bd5,like,2023-02-09,10:00:00,2023-02
2876,24,Female,Pants,Clothing,81,Kentucky,M,Pink,Fall,2.6,No,Free Shipping,No,No,14,Debit Card,Weekly,37.8223,-85.7682,2876.0,20d5dbf7f7620b4d9fb8ba4ca52e079e,like,2023-05-12,08:00:00,2023-05
2888,23,Female,Sandals,Footwear,28,Kentucky,L,Blue,Winter,2.8,No,Express,No,No,12,Cash,Bi-Weekly,37.8223,-85.7682,2888.0,9c15a3624246c8a6a9e4c71400a04d7e,purchase,2023-12-17,08:00:00,2023-12
2894,69,Female,Belt,Accessories,20,Kentucky,S,Orange,Spring,3.1,No,Free Shipping,No,No,44,Debit Card,Every 3 Months,37.8223,-85.7682,2894.0,28bfba64510bb71d0ff2ccb10393de6f,purchase,2023-12-23,08:00:00,2023-12
2895,35,Female,Jewelry,Accessories,32,Kentucky,S,Brown,Spring,3.5,No,Standard,No,No,41,Venmo,Annually,37.8223,-85.7682,2895.0,c09fef72248c238d016d57df047f9769,view,2023-12-24,08:00:00,2023-12
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,45.2538,-69.4455,2.0,66d49bbed043f5be260fa9f7fbff5957,view,2023-11-10,08:00:00,2023-11
132,28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,45.2538,-69.4455,132.0,1d6d1a47bc11a7549b994c0e8cbd8804,purchase,2023-01-11,08:00:00,2023-01
156,63,Male,Socks,Clothing,77,Maine,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly,45.2538,-69.4455,156.0,18cad95602932158f77c11ac60921726,purchase,2023-11-25,08:00:00,2023-11
320,47,Male,Shorts,Clothing,74,Maine,XL,White,Spring,2.6,Yes,Standard,Yes,Yes,1,Cash,Every 3 Months,45.2538,-69.4455,320.0,a2126b343317aac5d5fce0fb498ad4b6,like,2023-06-05,10:00:00,2023-06
378,63,Male,Scarf,Accessories,32,Maine,M,Silver,Spring,4.1,Yes,Standard,Yes,Yes,39,Credit Card,Every 3 Months,45.2538,-69.4455,378.0,6f12ed34925f9493750ec9bff68acca2,purchase,2023-03-07,10:00:00,2023-03
382,66,Male,Jewelry,Accessories,25,Maine,L,Lavender,Winter,3.4,Yes,Store Pickup,Yes,Yes,3,Credit Card,Every 3 Months,45.2538,-69.4455,382.0,2d5e7261022fc03bee16074d8a833b97,like,2023-07-07,10:00:00,2023-07
413,24,Male,Jacket,Outerwear,74,Maine,M,Yellow,Summer,3.1,Yes,Store Pickup,Yes,Yes,3,Bank Transfer,Weekly,45.2538,-69.4455,413.0,676a467799b972146ba70da05638fd9d,like,2023-07-08,10:00:00,2023-07
489,58,Male,Sweater,Clothing,29,Maine,L,Olive,Spring,4.6,Yes,Standard,Yes,Yes,32,Venmo,Weekly,45.2538,-69.4455,489.0,033530196851b71b35ecb470eaa07ef9,view,2023-10-20,08:00:00,2023-10
506,61,Male,T-shirt,Clothing,63,Maine,L,Gray,Spring,4.3,Yes,Express,Yes,Yes,9,Cash,Bi-Weekly,45.2538,-69.4455,506.0,52a631caf68514f7d2fe3711340846ec,view,2023-06-11,08:00:00,2023-06
508,65,Male,Shorts,Clothing,20,Maine,M,Magenta,Spring,5.0,Yes,Store Pickup,Yes,Yes,33,Debit Card,Fortnightly,45.2538,-69.4455,508.0,dc7928a4acd49f06e9942ff3abcb9bba,like,2023-08-11,08:00:00,2023-08
556,63,Male,Gloves,Accessories,57,Maine,M,White,Fall,4.8,Yes,Express,Yes,Yes,37,Venmo,Annually,45.2538,-69.4455,556.0,8d76096ed885f32328083ded4972a195,like,2023-12-26,08:00:00,2023-12
575,54,Male,Sneakers,Footwear,79,Maine,L,Red,Fall,4.8,Yes,Free Shipping,Yes,Yes,20,Bank Transfer,Bi-Weekly,45.2538,-69.4455,575.0,24f9f7e193c6571e7b597bdf79ad7504,view,2023-12-01,10:00:00,2023-12
579,69,Male,Sandals,Footwear,90,Maine,M,Purple,Fall,4.6,Yes,Next Day Air,Yes,Yes,22,Credit Card,Fortnightly,45.2538,-69.4455,579.0,cada36e0aa06f7112ee9d4b8a927a04b,like,2023-01-16,10:00:00,2023-01
679,27,Male,Blouse,Clothing,74,Maine,M,Teal,Fall,3.3,Yes,Store Pickup,Yes,Yes,25,Debit Card,Every 3 Months,45.2538,-69.4455,679.0,918686ea87ed7c9435159b21afa19b1f,purchase,2023-07-01,10:00:00,2023-07
875,25,Male,Jacket,Outerwear,65,Maine,M,Magenta,Fall,4.4,Yes,Free Shipping,Yes,Yes,10,Venmo,Every 3 Months,45.2538,-69.4455,875.0,8109adf8e72fe439c4e78373cf4e7932,view,2023-10-10,08:00:00,2023-10
1024,61,Male,Sunglasses,Accessories,71,Maine,S,Turquoise,Winter,3.5,Yes,Free Shipping,Yes,Yes,29,Bank Transfer,Every 3 Months,45.2538,-69.4455,1024.0,81d0ec038af8933708425993686de416,like,2023-11-19,08:00:00,2023-11
1033,55,Male,Boots,Footwear,36,Maine,M,Lavender,Fall,4.0,Yes,Free Shipping,Yes,Yes,44,Credit Card,Quarterly,45.2538,-69.4455,1033.0,66d6b4d433bdd3ac8de21aa7b4dd63d8,view,2023-10-16,08:00:00,2023-10
1049,30,Male,Socks,Clothing,77,Maine,L,Yellow,Fall,2.7,Yes,Standard,Yes,Yes,19,Venmo,Fortnightly,45.2538,-69.4455,1049.0,678fa9dbf757b6e6f6ef4bb103f9246b,view,2023-01-11,08:00:00,2023-01
1186,47,Male,Jeans,Clothing,64,Maine,M,Magenta,Spring,3.9,No,Standard,Yes,Yes,29,Credit Card,Monthly,45.2538,-69.4455,1186.0,15db455c9238c66f2c8756794f15ba92,view,2023-11-29,08:00:00,2023-11
1302,42,Male,Shirt,Clothing,54,Maine,M,Orange,Fall,5.0,No,Express,Yes,Yes,21,Debit Card,Weekly,45.2538,-69.4455,1302.0,5abee5d0fd7db49890f5ac64f208cc6e,view,2023-08-11,08:00:00,2023-08
1376,42,Male,Sneakers,Footwear,31,Maine,L,Brown,Spring,4.1,No,2-Day Shipping,Yes,Yes,8,Credit Card,Annually,45.2538,-69.4455,1376.0,14e13b09adb60630d22f24dd9717810b,purchase,2023-01-19,10:00:00,2023-01
1460,20,Male,Shoes,Footwear,35,Maine,L,Yellow,Winter,4.8,No,Express,Yes,Yes,18,Venmo,Fortnightly,45.2538,-69.4455,1460.0,e5fd0b043bd2c7df93df63644e053394,purchase,2023-12-27,08:00:00,2023-12
1605,18,Male,Sweater,Clothing,92,Maine,M,White,Summer,4.8,No,2-Day Shipping,Yes,Yes,25,Credit Card,Every 3 Months,45.2538,-69.4455,1605.0,6ef7a022635ecf54f51728e24de9101a,purchase,2023-01-21,10:00:00,2023-01
1628,69,Male,Sunglasses,Accessories,21,Maine,M,Olive,Winter,2.9,No,Next Day Air,Yes,Yes,8,Credit Card,Annually,45.2538,-69.4455,1628.0,11a3d36c939e003fcc1f4da73887fb95,like,2023-10-29,08:00:00,2023-10
1664,43,Male,Shirt,Clothing,22,Maine,XL,Gold,Summer,3.5,No,Standard,Yes,Yes,1,Cash,Bi-Weekly,45.2538,-69.4455,1664.0,be325b96528ccb919e52994437ae9ee4,like,2023-04-12,08:00:00,2023-04
1822,57,Male,Shorts,Clothing,53,Maine,M,Teal,Spring,2.8,No,Express,No,No,29,PayPal,Quarterly,45.2538,-69.4455,1822.0,122e4da9231998851c6a0fc276c40f92,like,2023-09-05,10:00:00,2023-09
1832,62,Male,Blouse,Clothing,71,Maine,M,Cyan,Summer,3.3,No,Free Shipping,No,No,5,Bank Transfer,Every 3 Months,45.2538,-69.4455,1832.0,f88ba26e70913ad1a6561a7a08720cd2,like,2023-05-19,10:00:00,2023-05
1849,19,Male,Jeans,Clothing,73,Maine,XL,Yellow,Winter,2.7,No,Express,No,No,34,Cash,Every 3 Months,45.2538,-69.4455,1849.0,9f14997e028e255059ef5c68094ea325,purchase,2023-05-06,10:00:00,2023-05
1859,22,Male,Scarf,Accessories,69,Maine,S,Peach,Spring,4.9,No,2-Day Shipping,No,No,8,Debit Card,Annually,45.2538,-69.4455,1859.0,506c156a640ce6e2ee0896322ecc4ed3,purchase,2023-06-15,10:00:00,2023-06
1956,50,Male,Hoodie,Clothing,56,Maine,M,Pink,Winter,4.9,No,Express,No,No,37,Cash,Monthly,45.2538,-69.4455,1956.0,c220268f9058bfcce9416e051899fdfa,purchase,2023-12-17,08:00:00,2023-12
2004,68,Male,Sneakers,Footwear,72,Maine,S,Blue,Spring,3.1,No,Express,No,No,32,Cash,Quarterly,45.2538,-69.4455,2004.0,eed93d6ce56aa983fb63a007b70565e0,purchase,2023-10-17,08:00:00,2023-10
2017,53,Male,Shoes,Footwear,47,Maine,S,Violet,Winter,3.4,No,Standard,No,No,20,Debit Card,Fortnightly,45.2538,-69.4455,2017.0,e2e24b48e5a6c27573a016516918e7d4,view,2023-10-30,08:00:00,2023-10
2022,62,Male,Handbag,Accessories,33,Maine,M,Green,Winter,4.4,No,Standard,No,No,48,Venmo,Quarterly,45.2538,-69.4455,2022.0,8e2d1c745c285b5c459fff46d6ef04c4,like,2023-04-11,08:00:00,2023-04
2027,37,Male,Scarf,Accessories,35,Maine,M,Orange,Winter,3.6,No,Express,No,No,45,Bank Transfer,Every 3 Months,45.2538,-69.4455,2027.0,71f3828d87cae64ff696df8749b8706b,like,2023-09-11,08:00:00,2023-09
2134,21,Male,Hat,Accessories,34,Maine,M,Olive,Summer,3.8,No,Standard,No,No,13,Bank Transfer,Annually,45.2538,-69.4455,2134.0,0391653047b6f8a99e565e2a482eb9eb,like,2023-02-22,10:00:00,2023-02
2212,50,Male,Sweater,Clothing,89,Maine,L,Purple,Winter,3.2,No,Free Shipping,No,No,45,Debit Card,Every 3 Months,45.2538,-69.4455,2212.0,f3af2a80bf7ac2985dbf126646a187e4,view,2023-11-05,10:00:00,2023-11
2273,29,Male,Jacket,Outerwear,38,Maine,L,Charcoal,Spring,4.0,No,Standard,No,No,44,PayPal,Monthly,45.2538,-69.4455,2273.0,a0ff07ad68e31823a3bd11e56eed6ba7,like,2023-11-07,10:00:00,2023-11
2302,37,Male,Pants,Clothing,20,Maine,L,Turquoise,Winter,2.9,No,Next Day Air,No,No,21,Debit Card,Annually,45.2538,-69.4455,2302.0,93a969b1022db6f180228b2c34c5a603,purchase,2023-09-08,10:00:00,2023-09
2306,68,Male,Handbag,Accessories,63,Maine,M,Gold,Summer,2.6,No,Free Shipping,No,No,47,Cash,Weekly,45.2538,-69.4455,2306.0,905b1d2373adb1703588d5fdf5ddf2de,purchase,2023-08-13,10:00:00,2023-08
2320,56,Male,Sandals,Footwear,38,Maine,XL,Turquoise,Winter,5.0,No,Free Shipping,No,No,29,PayPal,Monthly,45.2538,-69.4455,2320.0,4f73f0f5ed2f279f1d9832d501281f74,purchase,2023-08-27,10:00:00,2023-08
2349,54,Male,Shoes,Footwear,84,Maine,M,Orange,Spring,4.9,No,Next Day Air,No,No,16,PayPal,Every 3 Months,45.2538,-69.4455,2349.0,c0f242527a325e29cafb8402b9a462b3,purchase,2023-09-25,10:00:00,2023-09
2494,21,Male,Socks,Clothing,23,Maine,S,Beige,Fall,4.8,No,2-Day Shipping,No,No,6,Venmo,Every 3 Months,45.2538,-69.4455,2494.0,8f1c02befcad104e99df55229320b4c4,purchase,2023-09-11,08:00:00,2023-09
2519,20,Male,Boots,Footwear,51,Maine,XL,Blue,Fall,4.0,No,Store Pickup,No,No,31,Venmo,Annually,45.2538,-69.4455,2519.0,11f1eea6314df059ab73f8862248ee93,like,2023-04-12,08:00:00,2023-04
2538,44,Male,Coat,Outerwear,49,Maine,M,Purple,Summer,4.1,No,2-Day Shipping,No,No,30,PayPal,Fortnightly,45.2538,-69.4455,2538.0,7fea591dd926bd30e8e7243894efefe5,purchase,2023-12-23,08:00:00,2023-12
2587,20,Male,Coat,Outerwear,28,Maine,L,Yellow,Winter,4.6,No,Express,No,No,1,Credit Card,Every 3 Months,45.2538,-69.4455,2587.0,dca2e4837d3574733e26d096aff46cb3,view,2023-08-02,10:00:00,2023-08
2622,48,Male,Shoes,Footwear,46,Maine,M,Beige,Winter,3.0,No,Express,No,No,21,Bank Transfer,Annually,45.2538,-69.4455,2622.0,40a1c5eeb2ac7b9d6077e9a2f9a89a61,like,2023-03-15,10:00:00,2023-03
2631,29,Male,Skirt,Clothing,82,Maine,S,Pink,Spring,4.2,No,Free Shipping,No,No,20,Cash,Quarterly,45.2538,-69.4455,2631.0,c44d65f54504e72b25a1479d41665f6e,view,2023-03-24,10:00:00,2023-03
2723,23,Female,Hat,Accessories,83,Maine,M,Green,Spring,2.8,No,2-Day Shipping,No,No,22,PayPal,Fortnightly,45.2538,-69.4455,2723.0,0f267877468f9ff01a9c069d3cdf14e0,purchase,2023-06-24,10:00:00,2023-06
2742,68,Female,Dress,Clothing,81,Maine,L,Yellow,Fall,4.9,No,2-Day Shipping,No,No,41,Venmo,Monthly,45.2538,-69.4455,2742.0,50767a230bf8a9155886ef23998abbef,like,2023-07-13,10:00:00,2023-07
2791,34,Female,Socks,Clothing,63,Maine,M,Black,Spring,4.5,No,Free Shipping,No,No,24,Debit Card,Annually,45.2538,-69.4455,2791.0,961ee6d71785f708c0c630042e4b93db,like,2023-08-31,10:00:00,2023-08
2800,23,Female,T-shirt,Clothing,89,Maine,L,Pink,Spring,3.9,No,Free Shipping,No,No,9,Bank Transfer,Every 3 Months,45.2538,-69.4455,2800.0,75f02d7fb0b0f1f9eda10afe8106209c,view,2023-09-09,10:00:00,2023-09
2839,51,Female,Jacket,Outerwear,50,Maine,M,Blue,Fall,3.7,No,Free Shipping,No,No,2,Bank Transfer,Weekly,45.2538,-69.4455,2839.0,f09e150ed708e41745130d5798586684,like,2023-10-29,08:00:00,2023-10
2964,52,Female,Boots,Footwear,97,Maine,M,Brown,Spring,3.6,No,Free Shipping,No,No,28,Credit Card,Weekly,45.2538,-69.4455,2964.0,78531f1d6b43417529f9a66939e68744,view,2023-11-14,08:00:00,2023-11
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,42.3736,-71.1097,3.0,2c55cae269aebf53838484b0d7dd931a,like,2023-12-10,08:00:00,2023-12
