Customer ID,Age,Gender,Item Purchased,product_category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,product id,Interaction type,Date,Heure,Month,Product Name,customer_category,Selling Price,Model Number,Image,Product Url,Is Amazon Seller,Sub Category,Shipping Weight (lbs),Length,Width,Height
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,82c86a4d24dce5e14303033d7b658b78,view,2023-10-23,08:00:00,2023-10,"LEGO Minecraft Creeper BigFig and Ocelot Characters 21156 Buildable Toy Minecraft Figure Gift Set for Play and Decoration, New 2020 (184 Pieces)",Toys & Games,14.99,6288704,https://images-na.ssl-images-amazon.com/images/I/51LoYG%2BDsLL.jpg|https://images-na.ssl-images-amazon.com/images/I/41iJZfG7RGL.jpg|https://images-na.ssl-images-amazon.com/images/I/51e0Ya7DqhL.jpg|https://images-na.ssl-images-amazon.com/images/I/51-hadIdxSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51oI9%2BDm6BL.jpg|https://images-na.ssl-images-amazon.com/images/I/51yQeWvfOlL.jpg|https://images-na.ssl-images-amazon.com/images/I/51Yrqzea0zL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/LEGO-Minecraft-Characters-Buildable-Decoration/dp/B07WG9XJDZ,Y,Building Sets,5.6,5.5,7.5,1.8
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,1ecccb43e0f5c0162218371916ffa553,like,2023-10-24,08:00:00,2023-10,C&D Visionary DC Comic Originals Flash Logo Sticker,Toys & Games,4.99,S-DC-0140,https://images-na.ssl-images-amazon.com/images/I/51RLMxSin-L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Visionary-Comic-Originals-Flash-Sticker/dp/B00U87LZ0Y,Y,Craft Kits,0.16,5.0,0.0,4.0
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,d1ac6d805fcdf75f9e00af611dd03ce4,like,2023-10-25,08:00:00,2023-10,"The Learning Journey ABC Melody Maker, Primary",Toys & Games,34.39,299142,https://images-na.ssl-images-amazon.com/images/I/61EE6qrO2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/41K2cemcS%2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/519ghjzl2vL.jpg|https://images-na.ssl-images-amazon.com/images/I/51HrH7ciDYL.jpg|https://images-na.ssl-images-amazon.com/images/I/51dCgcBuqaL.jpg|https://images-na.ssl-images-amazon.com/images/I/71mdBUQPvFL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Learning-Journey-ABC-Melody-Maker/dp/B00247R078,Y,Musical Toys,2.1,15.3,1.8,14.2
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,4af0833f20a8421788fc04577b0ef1c5,like,2023-10-28,08:00:00,2023-10,Schylling Veterinarian Kit,Toys & Games,9.39,VKIT,https://images-na.ssl-images-amazon.com/images/I/51wOrcShPHL.jpg|https://images-na.ssl-images-amazon.com/images/I/41KtrpEc-OL.jpg|https://images-na.ssl-images-amazon.com/images/I/416oOTjDxjL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Schylling-Veterinarian-Kit/dp/B079C6NV2Y,Y,Money Banks,15.2,10.0,7.0,3.0
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,a84f14dd0114d78f178b16f093cab0e0,purchase,2023-10-30,08:00:00,2023-10,Disney HK318329 Sofia The First Sleepover Set,Toys & Games,27.5,HK318329,https://images-na.ssl-images-amazon.com/images/I/51oF4e0NvcL.jpg|https://images-na.ssl-images-amazon.com/images/I/41RYGh-7NOL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Disney-HK318329-Sofia-First-Sleepover/dp/B00GJAT9JI,Y,Slumber Bags,2.0,13.0,7.0,10.0
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,f5b9392a03cfae8817307a36411c8b17,view,2023-10-31,08:00:00,2023-10,Team Associated 9665 Hinge Pin Brace with Hinge Pins B4/T4,Toys & Games,10.99,ASC9665,https://images-na.ssl-images-amazon.com/images/I/41bHRYbeLgL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Team-Associated-9665-Hinge-Brace/dp/B000BOB45U,Y,RC Linkages,1.6,5.8,0.2,3.4
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,89a993dbc079cc3fbe9088c8170b6f99,like,2023-01-11,08:00:00,2023-01,"PLUS PLUS - Construction Building Toy, Open Play Set - 3,600 Pieces with Storage Tub - Basic Color Mix",Toys & Games,159.99,3373,https://images-na.ssl-images-amazon.com/images/I/51qmz2JiIHL.jpg|https://images-na.ssl-images-amazon.com/images/I/41ZItvbSFML.jpg|https://images-na.ssl-images-amazon.com/images/I/41%2BAGovcVHL.jpg|https://images-na.ssl-images-amazon.com/images/I/519pSZe%2BFgL.jpg|https://images-na.ssl-images-amazon.com/images/I/41jEl9-7SdL.jpg|https://images-na.ssl-images-amazon.com/images/I/41hQAb5heyL.jpg|https://images-na.ssl-images-amazon.com/images/I/41DPx6b6fRL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/PLUS-3600-Pc-Set-Educational/dp/B00JZO7CNA,Y,Building Sets,5.3,15.7,11.8,5.1
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,af983053a35fa2a843092369ff3b400b,like,2023-03-11,08:00:00,2023-03,Peppa Pig Shape Sorter Clock Puzzle (12Piece),Toys & Games,11.88,68008,https://images-na.ssl-images-amazon.com/images/I/519BaFjimBL.jpg|https://images-na.ssl-images-amazon.com/images/I/51vOIUMj0ML.jpg|https://images-na.ssl-images-amazon.com/images/I/51QRaxeSHcL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Peppa-Pig-Sorter-Puzzle-12Piece/dp/B015EOHBKI,Y,Teaching Clocks,11.2,0.9,8.5,8.5
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,326ebcfaa8d5204b634b5648e88e2fe4,purchase,2023-05-11,08:00:00,2023-05,NKOK Sonic and Sega All Stars Racing Remote Controlled Car - Sonic The Hedgehog,Toys & Games,26.99,RC-611,https://images-na.ssl-images-amazon.com/images/I/51M1sShThFL.jpg|https://images-na.ssl-images-amazon.com/images/I/410BRNy1DyL.jpg|https://images-na.ssl-images-amazon.com/images/I/41qE7aAEXPL.jpg|https://images-na.ssl-images-amazon.com/images/I/31dPZVJqwRL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/NKOK-Sonic-Racing-Remote-Controlled/dp/B003SUW37W,Y,Kids' Electronics,1.23,7.0,4.0,3.0
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,a11d9462309527143094a0f68bce0a58,view,2023-06-11,08:00:00,2023-06,Industro Stainless Steel Hose Clamps,Home & Kitchen,34.27,193,https://images-na.ssl-images-amazon.com/images/I/41y%2BKv5LLzL.jpg|https://images-na.ssl-images-amazon.com/images/I/319j8eJEtNL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Industro-Stainless-Steel-Hose-Clamps/dp/B07M9BPMTK,Y,Kids' Room Décor,1.37,2.0,0.6,2.0
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,c15e7efbe14b9bbcb8b7fe31f9818021,purchase,2023-08-11,08:00:00,2023-08,Springbok Puzzles - Christmas Wishes - 400 Piece Jigsaw Puzzle - Large 26.75 Inches by 20.5 Inches Puzzle - Made in USA - Unique Cut Interlocking Pieces - Big Pieces for Kids & Small Pieces for Adults,Toys & Games,14.95,34-70549,https://images-na.ssl-images-amazon.com/images/I/518B%2BLjZbOL.jpg|https://images-na.ssl-images-amazon.com/images/I/514kzTP1M%2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/51kGTNu1CmL.jpg|https://images-na.ssl-images-amazon.com/images/I/51UDOwMmdOL.jpg|https://images-na.ssl-images-amazon.com/images/I/51CdU8KL%2BxL.jpg|https://images-na.ssl-images-amazon.com/images/I/51TlzvJ4HHL.jpg|https://images-na.ssl-images-amazon.com/images/I/61dQuCGTN1L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Springbok-Puzzles-Christmas-Wishes-Interlocking/dp/B071GRMV63,Y,Jigsaw Puzzles,1.61,20.5,0.0,26.8
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,5bb4a9aa52085ada20006d166b1e2f87,purchase,2023-09-11,08:00:00,2023-09,Franklin Sports Eye Black Stickers for Kids - Customizable Lettering Baseball and Football Eye Black Stickers - White Pencil Included,Sports & Outdoors,6.91,11392S11,https://images-na.ssl-images-amazon.com/images/I/51CiVVrsClL.jpg|https://images-na.ssl-images-amazon.com/images/I/41qxTDiJDaL.jpg|https://images-na.ssl-images-amazon.com/images/I/51-DoCmbB1L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Franklin-Sports-Eye-Black-Stickers/dp/B009Z2WXA4,Y,Team Sports,0.8,0.4,4.2,6.2
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,2339c5be505bf647ebff669697c6bc25,view,2023-10-11,08:00:00,2023-10,Costume Sunglasses Clown from IT Sun-Staches Party Favors UV400,Toys & Games,5.99,SG3301,https://images-na.ssl-images-amazon.com/images/I/41UH2QoXb2L.jpg|https://images-na.ssl-images-amazon.com/images/I/41uc1vqLzYL.jpg|https://images-na.ssl-images-amazon.com/images/I/41LEOE0f8ZL.jpg|https://images-na.ssl-images-amazon.com/images/I/51EolpdzngL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Costume-Sunglasses-Clown-Sun-Staches-Favors/dp/B07GG8DFWD,Y,Costumes,3.36,12.0,1.0,7.0
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,93c659c89f9a1a81374c61c3fdf881bb,like,2023-11-11,08:00:00,2023-11,"Jay Franco Disney Frozen 2 Forest Spirit Twin/Full Comforter & Sham Set, Mutli",Home & Kitchen,36.37,JF40350EPCD,https://images-na.ssl-images-amazon.com/images/I/41uqfIm8fZL.jpg|https://images-na.ssl-images-amazon.com/images/I/41M%2ByCtzg1L.jpg|https://images-na.ssl-images-amazon.com/images/I/41CMvKDE-xL.jpg|https://images-na.ssl-images-amazon.com/images/I/51DpcukS7pL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Jay-Franco-Disney-Frozen-Comforter/dp/B07V5JT7XP,Y,Comforter Sets,4.23,16.9,11.5,6.7
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,25a1fcc6db40f86566c5f2d902407b15,view,2023-12-11,08:00:00,2023-12,TAMASHII NATIONS Bandai S.H. Figuarts Captain America & Tamashii Effect Explosion Avengers: Infinity War Action Figure,Toys & Games,60.87,BAN27626,https://images-na.ssl-images-amazon.com/images/I/41pkph02FPL.jpg|https://images-na.ssl-images-amazon.com/images/I/51QDRpf6OzL.jpg|https://images-na.ssl-images-amazon.com/images/I/51UiFERSc4L.jpg|https://images-na.ssl-images-amazon.com/images/I/51nO%2BfhbOaL.jpg|https://images-na.ssl-images-amazon.com/images/I/41grtb6UbSL.jpg|https://images-na.ssl-images-amazon.com/images/I/510%2B8amlrnL.jpg|https://images-na.ssl-images-amazon.com/images/I/51NG1Fb-vOL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Tamashii-Nations-Figuarts-Explosion-Avengers/dp/B07BK72H55,N,Action Figures,1.45,2.0,2.0,6.0
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,171c7524e8cf032d08d1315f3a538345,like,2023-11-13,08:00:00,2023-11,"Forum Novelties Union Officer Child's Costume, Medium","Clothing, Shoes & Jewelry",21.07,69924,https://images-na.ssl-images-amazon.com/images/I/314rdsW5WLL.jpg|https://images-na.ssl-images-amazon.com/images/I/413N%2BekN88L.jpg|https://images-na.ssl-images-amazon.com/images/I/51fUN4SzEkL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Forum-Novelties-Officer-Childs-Costume/dp/B00GD3F3QE,Y,Costumes,12.8,13.0,10.0,2.0
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,0b6ee0084290e441d87cd5db35cdabb3,like,2023-11-14,08:00:00,2023-11,"Weiler 14506 Nylox Cup Brush, 6"", 0.40/80SC Crimped Fill, 5/8""-11 UNC Nut",Toys & Games,73.58,14506,https://images-na.ssl-images-amazon.com/images/I/41l73fvCvTL.jpg,https://www.amazon.com/Weiler-14506-Nylox-Brush-Crimped/dp/B01024488I,Y,Play Vehicles,2.0,2.3,6.8,7.0
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,4449b3fa30a6becd3ede26511c8b2180,purchase,2023-11-15,08:00:00,2023-11,Disney Mickey Golf Ball Spinner Pewter Key Ring Key Accessory,Toys & Games,8.44,85441,https://images-na.ssl-images-amazon.com/images/I/31iK4bdZltL.jpg|https://images-na.ssl-images-amazon.com/images/I/41qmYRIHDhL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Disney-Mickey-Spinner-Pewter-Accessory/dp/B074JR44HN,Y,Novelty & Gag Toys,1.12,2.0,0.8,3.5
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,4832387affc268b3c9d6cca70dbdbcb4,view,2023-11-16,08:00:00,2023-11,"Anagram International 3085101 Go Team Megaphone Shop Balloon Pack, 29""",Toys & Games,6.45,3085101,https://images-na.ssl-images-amazon.com/images/I/51DcBG52cRL.jpg|https://images-na.ssl-images-amazon.com/images/I/31WA1JiOhML.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Anagram-International-3085101-Megaphone-Balloon/dp/B00XH4Z6SC,Y,Party Supplies,1.6,29.0,0.0,24.0
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,487a3cc651bddbccb4738ef1e5aa40d0,like,2023-11-17,08:00:00,2023-11,"Happy Birthday Jointed Letter Banner, Under Construction",Toys & Games,3.12,295955,https://images-na.ssl-images-amazon.com/images/I/31kDRZp3aYL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Birthday-Jointed-Letter-Banner-Construction/dp/B001GQHUIW,Y,Banners,4.8,96.0,7.0,0.1
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,c3296d8ad42c3998c205f0dbca3998f3,purchase,2023-11-18,08:00:00,2023-11,Poopsie Unicorn Crush with Glitter and Slime Surprise (2-Pack),Toys & Games,39.75,564065,https://images-na.ssl-images-amazon.com/images/I/514Kr37-10L.jpg|https://images-na.ssl-images-amazon.com/images/I/41hFdVG9lqL.jpg|https://images-na.ssl-images-amazon.com/images/I/41RXEIDXcNL.jpg|https://images-na.ssl-images-amazon.com/images/I/41auN92JFqL.jpg|https://images-na.ssl-images-amazon.com/images/I/4171knV21cL.jpg|https://images-na.ssl-images-amazon.com/images/I/41Il7hHzd6L.jpg|https://images-na.ssl-images-amazon.com/images/I/B18UMISIHxS.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Poopsie-Unicorn-Glitter-Surprise-2-Pack/dp/B07PMTQCCY,Y,Doll Accessories,1.3,2.2,2.2,4.2
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,3d63af78f4051d04ff6244e9cd299654,purchase,2023-11-19,08:00:00,2023-11,Funko Pop! Games: Persona 5 - The Joker (Styles May Vary),Unknown,15.45,37407,https://images-na.ssl-images-amazon.com/images/I/41TFQrt8IpL.jpg|https://images-na.ssl-images-amazon.com/images/I/51nIrWfncoL.jpg|https://images-na.ssl-images-amazon.com/images/I/51CmjcegnTL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Funko-Pop-Games-Persona-Styles/dp/B07KPHPDM9,Y,Unknown,4.6,2.5,2.5,3.8
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,a1793c26a96a83a1544300a431e62902,view,2023-11-20,08:00:00,2023-11,Klutz Decorate This Journal Toy,Toys & Games,16.01,9781340000000,https://images-na.ssl-images-amazon.com/images/I/61t-EZ%2B7P5L.jpg|https://images-na.ssl-images-amazon.com/images/I/51G2OyqOBuL.jpg|https://images-na.ssl-images-amazon.com/images/I/51yVY1OP2eL.jpg|https://images-na.ssl-images-amazon.com/images/I/51rIzTHrMrL.jpg|https://images-na.ssl-images-amazon.com/images/I/51KSbJMApxL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Klutz-Decorate-This-Journal-Toy/dp/1338106376,Y,Craft Kits,13.6,10.0,1.0,9.0
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,486702a222224c41f9e243713d03f27a,like,2023-11-21,08:00:00,2023-11,Random Esoteric Creature Generator for Classic Fantasy Rpgs & Their Modern Simulacra,Toys & Games,19.94,LFP0059,https://images-na.ssl-images-amazon.com/images/I/51oatsxdgAL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Esoteric-Creature-Generator-Classic-Simulacra/dp/9527238269,Y,Games & Accessories,5.6,8.2,5.8,0.2
